Extension,Description
.xci,"Nintendo Switch Video Game cartridge dump file that stores audio data, video data, game data, and program code for the Nintendo Switch; Also supported by emulators."
.xd,"A format used in a mod (XDBot) for Geometry Dash to save macros, (a format to replay inputs.) This is saved within the Documents section in File Explorer for Windows 10."
.xd,"A format used in a mod (XDBot) for Geometry Dash to save macros, (a format to replay inputs.) This is saved within the Documents section in File Explorer for Windows 10."
.xd,"A format used in a mod (XDBot) for Geometry Dash to save macros, (a format to replay inputs.) This is saved within the Documents section in File Explorer for Windows 10."
.xhtml/.xht,XHTML eXtensible HyperText Markup Language
.xhtml/.xht,XHTML eXtensible HyperText Markup Language
.xhtml/.xht,XHTML eXtensible HyperText Markup Language
.xslt/.xsl,XML Style Sheet
.xslt/.xsl,XML Style Sheet
.xslt/.xsl,XML Style Sheet
.yni,a configuration file similar to YAML
.yni,a configuration file similar to YAML
.yni,a configuration file similar to YAML
.zst/.zs1-.zs9/.z10-.z99,"ZSNES Save States (.zst, .zs1-.zs9, .z10-.z99)"
.zst/.zs1-.zs9/.z10-.z99,"ZSNES Save States (.zst, .zs1-.zs9, .z10-.z99)"
.zst/.zs1-.zs9/.z10-.z99,"ZSNES Save States (.zst, .zs1-.zs9, .z10-.z99)"
